dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.097392,-7.027830,3.716360,0.822233,-7.454355,17.032742,0.132691
0.020000,5.110872,-7.026048,3.729957,0.679855,-7.118910,16.772247,0.129966
0.020000,5.121663,-7.024653,3.740839,0.544084,-6.788551,16.517925,0.127073
0.020000,5.129894,-7.023613,3.749135,0.414820,-6.463176,16.268751,0.124025
0.020000,5.135690,-7.022899,3.754975,0.291966,-6.142707,16.023452,0.120832
0.020000,5.139174,-7.022482,3.758483,0.175424,-5.827111,15.779807,0.117504
0.020000,5.140467,-7.022331,3.759785,0.065097,-5.516360,15.537551,0.114054
0.020000,5.139689,-7.022418,3.760567,0.039112,-1.299220,210.857013,0.110491
0.020000,5.136959,-7.022715,3.763313,0.137301,4.909448,310.433384,0.106826
0.020000,5.132393,-7.023195,3.767905,0.229569,4.613365,-14.804148,0.103069
0.020000,5.126105,-7.023833,3.774225,0.316014,4.322281,-14.554173,0.099231
0.020000,5.118208,-7.024603,3.782160,0.396740,4.036281,-14.300010,0.095321
0.020000,5.108812,-7.025482,3.791597,0.471849,3.755465,-14.040839,0.091349
0.020000,5.098026,-7.026448,3.802426,0.541448,3.479941,-13.776155,0.087325
0.020000,5.085957,-7.027480,3.814539,0.605645,3.209830,-13.505573,0.083257
0.020000,5.072710,-7.028557,3.827830,0.664550,2.945255,-13.228761,0.079156
0.020000,5.058387,-7.029663,3.842195,0.718277,2.686353,-12.945087,0.075031
0.020000,5.043089,-7.030781,3.857534,0.766942,2.433244,-12.655438,0.070889
0.020000,5.026914,-7.031896,3.873747,0.810663,2.186071,-12.358643,0.066740
0.020000,5.009958,-7.032994,3.890739,0.849562,1.944953,-12.055929,0.062592
0.020000,4.992315,-7.034062,3.908414,0.883763,1.710026,-11.746361,0.058454
0.020000,4.974077,-7.035092,3.926682,0.913390,1.481358,-11.433382,0.054332
0.020000,4.955331,-7.036073,3.945453,0.938573,1.259151,-11.110342,0.050236
0.020000,4.936164,-7.036997,3.964642,0.959441,1.043415,-10.786793,0.046172
0.020000,4.916661,-7.037859,3.984165,0.976127,0.834288,-10.456346,0.042147
0.020000,4.896902,-7.038653,4.003940,0.988762,0.631772,-10.125791,0.038170
0.020000,4.876965,-7.039375,4.023889,0.997484,0.436082,-9.784528,0.034246
0.020000,4.856927,-7.040022,4.043938,1.002426,0.247088,-9.449683,0.030382
0.020000,4.836861,-7.040594,4.064012,1.003725,0.064936,-9.107603,0.026584
0.020000,4.816836,-7.041089,4.084043,1.001518,-0.110331,-8.763338,0.022859
0.020000,4.796922,-7.041508,4.103962,0.995940,-0.278894,-8.428177,0.019213
0.020000,4.777182,-7.041852,4.123704,0.987131,-0.440442,-8.077371,0.015650
0.020000,4.757680,-7.042123,4.143209,0.975226,-0.595265,-7.741170,0.012177
0.020000,4.738473,-7.042324,4.162416,0.960361,-0.743262,-7.399855,0.008798
0.020000,4.719621,-7.042459,4.181269,0.942668,-0.884631,-7.068472,0.005519
