dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-2.234056,-4.466989,1.380878,3.977131,3.213898,-20.433990,5.764295
0.020000,-2.303871,-4.426583,1.461543,4.033243,2.805587,-20.415553,5.752790
0.020000,-2.374041,-4.384885,1.543167,4.081227,2.399248,-20.316942,5.741272
0.020000,-2.444409,-4.341967,1.625591,4.121150,1.996144,-20.155195,5.729753
0.020000,-2.514819,-4.297902,1.708653,4.153112,1.598081,-19.903143,5.718248
0.020000,-2.585125,-4.252771,1.792197,4.177236,1.206224,-19.592854,5.706771
0.020000,-2.655183,-4.206656,1.876071,4.193674,0.821883,-19.217059,5.695334
0.020000,-2.724859,-4.159645,1.960123,4.202614,0.446993,-18.744513,5.683952
0.020000,-2.794025,-4.111828,2.044208,4.204253,0.081967,-18.251269,5.672636
0.020000,-2.862557,-4.063297,2.128185,4.198821,-0.271632,-17.679957,5.661400
0.020000,-2.930345,-4.014145,2.211916,4.186570,-0.612522,-17.044522,5.650254
0.020000,-2.997280,-3.964469,2.295271,4.167763,-0.940348,-16.391275,5.639210
0.020000,-3.063267,-3.914364,2.378125,4.142689,-1.253724,-15.668815,5.628279
0.020000,-3.128214,-3.863925,2.460358,4.111634,-1.552757,-14.951646,5.617472
0.020000,-3.192041,-3.813249,2.541856,4.074912,-1.836064,-14.165331,5.606799
0.020000,-3.254673,-3.762428,2.622513,4.032852,-2.103028,-13.348221,5.596267
0.020000,-3.316046,-3.711557,2.702228,3.985737,-2.355765,-12.636848,5.585888
0.020000,-3.376100,-3.660726,2.780907,3.933934,-2.590126,-11.718062,5.575668
0.020000,-3.434786,-3.610024,2.858462,3.877749,-2.809271,-10.957230,5.565615
0.020000,-3.492060,-3.559536,2.934811,3.817495,-3.012686,-10.170736,5.555736
0.020000,-3.547885,-3.509345,3.009882,3.753514,-3.199048,-9.318134,5.546039
0.020000,-3.602232,-3.459532,3.083604,3.686095,-3.370941,-8.594649,5.536528
0.020000,-3.655076,-3.410172,3.155915,3.615573,-3.526085,-7.757209,5.527209
0.020000,-3.706401,-3.361338,3.226760,3.542225,-3.667424,-7.066943,5.518087
0.020000,-3.756192,-3.313099,3.296086,3.466338,-3.794350,-6.346265,5.509167
0.020000,-3.804444,-3.265520,3.363850,3.388209,-3.906458,-5.605404,5.500452
0.020000,-3.851153,-3.218663,3.430012,3.308086,-4.006126,-4.983394,5.491946
0.020000,-3.896321,-3.172584,3.494537,3.226223,-4.093144,-4.350907,5.483652
0.020000,-3.939953,-3.127336,3.557394,3.142874,-4.167445,-3.715041,5.475572
0.020000,-3.982057,-3.082971,3.618558,3.058206,-4.233415,-3.298499,5.467709
0.020000,-4.022645,-3.039533,3.678008,2.972511,-4.284773,-2.567908,5.460065
0.020000,-4.061733,-2.997064,3.735727,2.885935,-4.328794,-2.201043,5.452640
0.020000,-4.099337,-2.955603,3.791701,2.798677,-4.362913,-1.705976,5.445437
0.020000,-4.135475,-2.915185,3.845918,2.710863,-4.390684,-1.388528,5.438456
0.020000,-4.170168,-2.875843,3.898372,2.622723,-4.407004,-0.816043,5.431698
0.020000,-4.203439,-2.837605,3.949059,2.534325,-4.419908,-0.645198,5.425163
0.020000,-4.235310,-2.800496,3.997975,2.445815,-4.425487,-0.278929,5.418852
0.020000,-4.265806,-2.764541,4.045122,2.357329,-4.424283,0.060215,5.412764
0.020000,-4.294951,-2.729758,4.090501,2.268970,-4.417942,0.317011,5.406899
0.020000,-4.322771,-2.696166,4.134117,2.180783,-4.409350,0.429629,5.401257
0.020000,-4.349291,-2.663782,4.175974,2.092879,-4.395213,0.706840,5.395838
0.020000,-4.374536,-2.632618,4.216081,2.005327,-4.377617,0.879801,5.390640
0.020000,-4.398532,-2.602686,4.254444,1.918153,-4.358694,0.946149,5.385663
0.020000,-4.421304,-2.573995,4.291074,1.831481,-4.333612,1.254108,5.380907
0.020000,-4.442877,-2.546555,4.325978,1.745240,-4.312023,1.079455,5.376370
0.020000,-4.463274,-2.520371,4.359169,1.659545,-4.284784,1.361919,5.372051
0.020000,-4.482521,-2.495450,4.390657,1.574388,-4.257833,1.347598,5.367950
0.020000,-4.500638,-2.471796,4.420452,1.489759,-4.231439,1.319657,5.364066
0.020000,-4.517649,-2.449411,4.448567,1.405750,-4.200447,1.549617,5.360398
0.020000,-4.533575,-2.428300,4.475012,1.322249,-4.175048,1.269961,5.356944
0.020000,-4.548436,-2.408462,4.499799,1.239333,-4.145795,1.462661,5.353704
0.020000,-4.562251,-2.389899,4.522938,1.156970,-4.118168,1.381321,5.350677
0.020000,-4.575038,-2.372612,4.544441,1.075114,-4.092807,1.268083,5.347861
0.020000,-4.586815,-2.356600,4.564317,0.993839,-4.063725,1.454078,5.345256
0.020000,-4.597597,-2.341864,4.582577,0.912987,-4.042639,1.054291,5.342862
0.020000,-4.607400,-2.328402,4.599230,0.832645,-4.017079,1.278007,5.340677
0.020000,-4.616237,-2.316213,4.614285,0.752746,-3.994944,1.106744,5.338700
0.020000,-4.624119,-2.305298,4.627749,0.673209,-3.976833,0.905541,5.336931
0.020000,-4.631059,-2.295653,4.639631,0.594098,-3.955546,1.064377,5.335369
0.020000,-4.637067,-2.287280,4.649937,0.515273,-3.941292,0.712696,5.334014
0.020000,-4.642150,-2.280175,4.658672,0.436772,-3.925024,0.813399,5.332864
0.020000,-4.646316,-2.274340,4.665842,0.358515,-3.912857,0.608350,5.331921
0.020000,-4.649571,-2.269771,4.671452,0.280481,-3.901700,0.557821,5.331182
0.020000,-4.651920,-2.266471,4.675503,0.202551,-3.896482,0.260923,5.330649
0.020000,-4.653367,-2.264436,4.677999,0.124818,-3.886685,0.489827,5.330320
0.020000,-4.654001,-2.263544,4.679095,0.054761,-3.502809,19.193813,5.330176
0.020000,-4.654138,-2.263351,4.679330,0.011780,-2.149082,67.686365,5.330145
0.020000,-4.654138,-2.263351,4.679330,0.000000,-0.588992,78.004483,5.330145
