dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.206835,15.789899,1.725510,3.870211,2.837387,-16.518360,0.127073
0.020000,2.284627,15.799718,1.803919,3.920451,2.511990,-16.269827,0.124025
0.020000,2.363319,15.809401,1.883204,3.964282,2.191561,-16.021465,0.120832
0.020000,2.442787,15.818917,1.963240,4.001801,1.875941,-15.781010,0.117504
0.020000,2.522909,15.828236,2.043902,4.033105,1.565191,-15.537483,0.114054
0.020000,2.603564,15.837330,2.125068,4.058291,1.259315,-15.293798,0.110491
0.020000,2.684632,15.846174,2.206617,4.077456,0.958270,-15.052248,0.106826
0.020000,2.765996,15.854745,2.288431,4.090700,0.662205,-14.803232,0.103069
0.020000,2.847539,15.863022,2.370394,4.098123,0.371125,-14.554030,0.099231
0.020000,2.929148,15.870986,2.452390,4.099825,0.085118,-14.300332,0.095321
0.020000,3.010710,15.878621,2.534308,4.095911,-0.195697,-14.040745,0.091349
0.020000,3.092113,15.885913,2.616038,4.086487,-0.471215,-13.775929,0.087325
0.020000,3.173251,15.892851,2.697471,4.071660,-0.741328,-13.505645,0.083257
0.020000,3.254014,15.899424,2.778502,4.051542,-1.005913,-13.229258,0.079156
0.020000,3.334300,15.905626,2.859027,4.026246,-1.264797,-12.944185,0.075031
0.020000,3.414005,15.911452,2.938945,3.995888,-1.517919,-12.656121,0.070889
0.020000,3.493029,15.916899,3.018157,3.960586,-1.765080,-12.358030,0.066740
0.020000,3.571275,15.921966,3.096566,3.920462,-2.006203,-12.056128,0.062592
0.020000,3.648646,15.926655,3.174079,3.875640,-2.241099,-11.744809,0.058454
0.020000,3.725049,15.930968,3.250604,3.826243,-2.469860,-11.438038,0.054332
0.020000,3.800394,15.934912,3.326052,3.772403,-2.691977,-11.105890,0.050236
0.020000,3.874592,15.938491,3.400337,3.714249,-2.907733,-10.787805,0.046172
0.020000,3.947559,15.941716,3.473375,3.651912,-3.116829,-10.454782,0.042147
0.020000,4.019212,15.944595,3.545085,3.585523,-3.319461,-10.131614,0.038170
0.020000,4.089470,15.947140,3.615390,3.515223,-3.515013,-9.777571,0.034246
0.020000,4.158257,15.949364,3.684213,3.441141,-3.704083,-9.453500,0.030382
0.020000,4.225498,15.951279,3.751481,3.363416,-3.886238,-9.107760,0.026584
0.020000,4.291122,15.952902,3.817125,3.282188,-4.061398,-8.758002,0.022859
0.020000,4.355060,15.954248,3.881076,3.197585,-4.230176,-8.438876,0.019213
0.020000,4.417245,15.955332,3.943271,3.109754,-4.391539,-8.068188,0.015650
0.020000,4.477616,15.956172,4.003648,3.018826,-4.546400,-7.743017,0.012177
0.020000,4.536112,15.956785,4.062147,2.924939,-4.694358,-7.397929,0.008798
0.020000,4.592674,15.957190,4.118711,2.828220,-4.835931,-7.078654,0.005519
0.020000,4.647250,15.957405,4.173288,2.728816,-4.970193,-6.713111,0.002345
0.020000,4.699787,15.957448,4.225825,2.626852,-5.098210,-6.400814,6.282464
0.020000,4.750237,15.957337,4.276274,2.522462,-5.219527,-6.065863,6.279510
0.020000,4.798551,15.957091,4.324589,2.415768,-5.334664,-5.756839,6.276674
0.020000,4.844688,15.956728,4.370727,2.306912,-5.442824,-5.407990,6.273958
0.020000,4.888606,15.956266,4.414647,2.196005,-5.545339,-5.125786,6.271366
0.020000,4.930266,15.955722,4.456311,2.083177,-5.641406,-4.803334,6.268901
0.020000,4.969632,15.955113,4.495682,1.968556,-5.731071,-4.483251,6.266568
0.020000,5.006671,15.954457,4.532727,1.852256,-5.814988,-4.195844,6.264368
0.020000,5.041353,15.953769,4.567415,1.734396,-5.893009,-3.901058,6.262304
0.020000,5.073647,15.953063,4.599717,1.615088,-5.965403,-3.619700,6.260379
0.020000,5.103527,15.952355,4.629606,1.494452,-6.031783,-3.319000,6.258595
0.020000,5.130970,15.951657,4.657058,1.372602,-6.092521,-3.036914,6.256954
0.020000,5.155954,15.950983,4.682051,1.249637,-6.148211,-2.784502,6.255458
0.020000,5.178458,15.950344,4.704564,1.125674,-6.198181,-2.498492,6.254109
0.020000,5.198466,15.949750,4.724581,1.000816,-6.242876,-2.234726,6.252909
0.020000,5.215961,15.949211,4.742084,0.875170,-6.282326,-1.972496,6.251858
0.020000,5.230930,15.948735,4.757061,0.748843,-6.316317,-1.699578,6.250959
0.020000,5.243362,15.948330,4.769499,0.621931,-6.345627,-1.465510,6.250211
0.020000,5.253248,15.948001,4.779390,0.494533,-6.369872,-1.212208,6.249616
0.020000,5.260579,15.947753,4.786725,0.366759,-6.388732,-0.942996,6.249175
0.020000,5.265350,15.947590,4.791499,0.238702,-6.402856,-0.706245,6.248888
0.020000,5.267647,15.947511,4.793798,0.114930,-6.188594,10.713120,6.248749
0.020000,5.268199,15.947492,4.794350,0.027620,-4.365481,91.155635,6.248716
0.020000,5.268199,15.947492,4.794350,0.000000,-1.381002,149.223966,6.248716
